랭킹,카페,메뉴,메뉴가격,전화번호,카페주소,홈페이지,링크
1,Old Oak Tap,BLT,$10,773-772-0406,2109 W. Chicago Ave.,theoldoaktap.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Old-Oak-Tap-BLT/
2,Au Cheval,Fried Bologna,$9,312-929-4580,800 W. Randolph St.,aucheval.tumblr.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Au-Cheval-Fried-Bologna/
3,Xoco,Woodland Mushroom,$9.50,312-334-3688,445 N. Clark St.,rickbayless.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Xoco-Woodland-Mushroom/
4,Al’s Deli,Roast Beef,$9.40,847-475-9400,914 Noyes St.,alsdeli.net,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Als-Deli-Roast-Beef/
5,Publican Quality Meats,PB&L,$10,312-445-8977,825 W. Fulton Mkt.,publicanqualitymeats.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Publican-Quality-Meats-PB-L/
6,Hendrickx Belgian Bread Crafter,Belgian Chicken Curry Salad,$7.25,312-649-6717,100 E. Walton St.,No Homepage,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Hendrickx-Belgian-Bread-Crafter-Belgian-Chicken-Curry-Salad/
7,Acadia,Lobster Roll,$16,312-360-9500,1639 S. Wabash Ave.,acadiachicago.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Acadia-Lobster-Roll/
8,Birchwood Kitchen,Smoked Salmon Salad,$10,773-276-2100,2211 W. North Ave.,birchwoodkitchen.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Birchwood-Kitchen-Smoked-Salmon-Salad/
9,Cemitas Puebla,Atomica Cemitas,$9,773-772-8435,3619 W. North Ave.,cemitaspuebla.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Cemitas-Puebla-Atomica-Cemitas/
10,Nana,Grilled Laughing Bird Shrimp and Fried Po’ Boy,$17,312-929-2486,3267 S. Halsted St.,nanaorganic.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Nana-Grilled-Laughing-Bird-Shrimp-and-Fried-Oyster-Po-Boy/
11,Lula Cafe,Ham and Raclette Panino,$11,773-489-9554,2537 N. Kedzie Blvd.,lulacafe.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Lula-Cafe-Ham-and-Raclette-Panino/
12,Ricobene’s,Breaded Steak,$5.49,No Contact,Multiple locations,ricobenespizza.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Ricobenes-Breaded-Steak/
13,Frog n Snail,The Hawkeye,$14,773-661-9166,3124 N. Broadway,frognsnail.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Frog-n-Snail-The-Hawkeye/
14,Crosby’s Kitchen,Chicken Dip,$10,773-883-2525,3455 N. Southport Ave.,crosbyskitchenchicago.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Crosbys-Kitchen-Chicken-Dip/
15,Longman & Eagle,Wild Boar Sloppy Joe,$13,773-276-7110,2657 N. Kedzie Ave.,longmanandeagle.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Longman-and-Eagle-Wild-Boar-Sloppy-Joe/
16,Bari,Meatball Sub,$4.50,312-666-0730,1120 W. Grand Ave.,bariitaliansubs.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Bari-Meatball-Sub/
17,Manny’s,Corned Beef,$11.95,312-939-2855,1141 S. Jefferson St.,mannysdeli.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Mannys-Corned-Beef/
18,Eggy’s,Turkey Club,$11.50,773-234-3449,333 E. Benton Pl.,eggysdiner.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Eggys-Turkey-Club/
19,Old Jerusalem,Falafel,$6.25,312-944-0459,1411 N. Wells St.,oldjerusalemchicago.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Old-Jerusalem-Falafel/
20,Mindy’s HotChocolate,Crab Cake,$15,773-489-1747,1747 N. Damen Ave.,hotchocolatechicago.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Mindys-HotChocolate-Crab-Cake/
21,Olga’s Delicatessen,Chicken Schnitzel,$5,773-539-8038,3209 W. Irving Park Rd.,No Homepage,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Olgas-Delicatessen-Chicken-Schnitzel/
